Id,SalePrice
1461,125800.58
1462,156274.47
1463,181994.27
1464,186596.12
1465,188725.61
1466,174522.8
1467,171906.1
1468,166991.4
1469,181910.9
1470,123280.41
1471,199830.28
1472,95829.0
1473,96379.26
1474,156692.92
1475,137098.66
1476,400820.28
1477,261383.62
1478,298394.25
1479,254352.77
1480,468029.0
1481,318666.3
1482,204037.9
1483,171837.34
1484,167864.92
1485,175016.45
1486,193871.4
1487,341911.8
1488,231900.97
1489,210741.0
1490,208794.08
1491,188782.2
1492,91447.85
1493,191905.42
1494,292415.38
1495,292444.22
1496,233283.38
1497,185770.3
1498,159083.47
1499,159472.72
1500,151804.58
1501,176532.1
1502,161126.42
1503,313678.25
1504,234058.38
1505,224234.36
1506,189537.97
1507,231559.08
1508,201853.53
1509,165205.28
1510,145969.1
1511,143183.78
1512,171731.53
1513,147137.72
1514,165069.92
1515,183522.83
1516,162918.02
1517,155154.7
1518,127006.35
1519,220342.67
1520,134844.12
1521,139800.9
1522,166714.98
1523,110380.93
1524,123439.81
1525,128085.54
1526,119530.875
1527,103597.734
1528,129212.41
1529,149298.8
1530,177803.39
1531,107528.87
1532,102020.57
1533,145369.81
1534,116714.24
1535,156607.05
1536,112096.5
1537,68622.85
1538,178038.83
1539,202693.98
1540,97799.9
1541,146724.31
1542,140990.06
1543,227916.75
1544,80097.43
1545,102316.17
1546,126477.14
1547,137499.88
1548,137238.33
1549,115870.71
1550,143003.98
1551,112304.6
1552,134848.53
1553,154656.14
1554,111868.12
1555,168166.06
1556,84362.03
1557,114136.234
1558,90229.86
1559,81073.43
1560,139484.66
1561,139956.0
1562,127743.18
1563,121864.4
1564,154333.42
1565,148061.23
1566,225297.2
1567,72164.3
1568,233616.55
1569,140119.56
1570,128523.64
1571,131952.58
1572,149588.97
1573,248288.47
1574,115041.42
1575,213029.45
1576,228607.05
1577,199309.97
1578,152864.42
1579,142940.69
1580,186424.39
1581,145351.31
1582,127260.75
1583,333745.47
1584,234742.62
1585,141771.58
1586,72954.55
1587,93039.24
1588,151590.64
1589,95224.29
1590,133184.45
1591,99583.12
1592,122794.98
1593,129331.69
1594,134200.66
1595,110573.77
1596,239863.94
1597,184984.72
1598,206166.47
1599,197372.4
1600,182025.2
1601,75977.945
1602,107568.81
1603,88561.97
1604,275206.25
1605,245563.08
1606,167947.64
1607,159603.06
1608,213316.89
1609,193242.9
1610,151559.97
1611,144298.89
1612,161771.19
1613,156349.9
1614,125724.83
1615,88902.72
1616,75503.45
1617,89443.34
1618,126947.734
1619,140873.5
1620,147290.4
1621,133341.83
1622,143314.33
1623,294127.75
1624,222683.05
1625,124981.58
1626,169793.5
1627,183409.61
1628,280216.4
1629,176553.02
1630,358434.9
1631,227116.23
1632,249855.81
1633,169061.84
1634,182184.8
1635,180715.34
1636,154635.86
1637,171035.95
1638,204719.25
1639,178690.4
1640,256758.44
1641,177699.67
1642,224685.6
1643,222060.14
1644,229929.78
1645,183408.16
1646,155016.38
1647,161859.66
1648,132789.3
1649,136316.25
1650,113090.98
1651,122806.97
1652,96251.93
1653,96477.2
1654,153309.8
1655,150544.31
1656,149589.47
1657,153051.34
1658,152034.06
1659,142352.28
1660,150949.73
1661,457567.4
1662,405273.1
1663,376156.2
1664,461514.0
1665,319601.97
1666,326008.44
1667,348611.25
1668,335137.2
1669,305065.84
1670,342113.4
1671,264012.72
1672,500832.97
1673,297830.88
1674,248826.08
1675,185015.19
1676,186998.36
1677,215118.83
1678,485837.97
1679,385614.28
1680,326490.5
1681,271876.97
1682,301037.6
1683,183057.64
1684,169805.52
1685,172595.25
1686,171637.28
1687,167926.4
1688,183825.12
1689,187330.19
1690,187954.45
1691,175427.0
1692,271323.78
1693,168268.95
1694,183325.67
1695,165755.62
1696,270293.06
1697,173706.4
1698,366444.28
1699,328534.06
1700,249644.58
1701,258951.9
1702,250470.61
1703,246210.53
1704,293372.4
1705,235322.83
1706,466096.28
1707,224968.06
1708,216740.48
1709,279330.03
1710,225761.03
1711,262270.6
1712,235390.33
1713,259799.14
1714,227072.47
1715,205571.3
1716,182295.72
1717,171249.4
1718,138804.2
1719,204939.55
1720,252983.12
1721,165498.31
1722,132232.5
1723,155451.44
1724,212266.78
1725,236474.86
1726,191047.73
1727,164685.2
1728,179271.69
1729,164600.86
1730,169163.03
1731,123694.87
1732,130508.09
1733,120177.68
1734,115798.44
1735,134859.64
1736,117505.85
1737,352546.53
1738,214328.89
1739,272152.2
1740,212787.62
1741,187293.36
1742,175676.44
1743,169963.78
1744,300176.66
1745,235700.88
1746,236754.77
1747,220145.8
1748,223151.78
1749,151958.62
1750,129783.195
1751,236708.58
1752,123172.97
1753,137436.44
1754,201190.1
1755,163242.1
1756,129818.48
1757,122689.05
1758,142752.83
1759,162816.95
1760,161976.67
1761,139212.67
1762,167587.89
1763,175358.44
1764,117971.7
1765,162006.3
1766,174404.22
1767,208616.88
1768,145842.0
1769,168208.14
1770,141755.42
1771,131312.88
1772,136483.42
1773,132411.73
1774,123588.73
1775,135939.39
1776,120485.14
1777,116701.586
1778,138233.33
1779,117605.65
1780,178685.38
1781,136069.5
1782,94904.24
1783,131731.45
1784,99266.71
1785,123506.836
1786,142146.16
1787,165522.3
1788,60242.695
1789,101202.266
1790,85067.94
1791,182850.0
1792,152132.83
1793,134820.64
1794,145867.02
1795,136689.3
1796,127918.31
1797,116067.51
1798,129497.25
1799,118606.24
1800,135016.19
1801,127048.72
1802,145623.05
1803,150101.05
1804,142692.95
1805,136600.6
1806,118563.27
1807,134323.5
1808,122489.55
1809,120120.09
1810,149479.98
1811,104823.4
1812,102779.56
1813,124091.64
1814,96651.68
1815,56681.848
1816,96901.51
1817,113750.53
1818,139050.14
1819,116997.71
1820,55059.27
1821,113288.484
1822,152858.86
1823,35558.574
1824,140193.72
1825,130500.33
1826,100473.19
1827,101611.63
1828,139521.5
1829,111691.07
1830,143387.78
1831,160745.33
1832,87144.05
1833,138908.44
1834,120599.836
1835,150545.12
1836,125705.4
1837,90818.85
1838,127442.016
1839,83674.625
1840,162268.16
1841,149929.1
1842,76021.92
1843,133236.14
1844,139798.08
1845,137415.78
